# 出力設定,,,,,,,,,,,,
,# コマンド,# 出力対象,# 出力先,,,,,,,,,
,.class,SampleData00,Assets/ParameterConverter/Sample/Data/Sample_csv_vertical.asset,,,,,,,,,
,,,,,,,,,,,,
# データ定義,,,,,,,,,,,,
,# 縦書きモード。縦書きモードではメンバを立てに並べて記述します,,,,,,,,,,,
,.vertical,,,,,,,,,,,
,,,,,,,,,,,,
,# メンバ名,# 値,,,,,,,,,,
,objName,hoge,,,,,,,,,,
,,,,,,,,,,,,
,pos.x,1,,,,,,,,,,
,pos.y,2,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,items[].id,0,1,10,,,,,,,,
,items[].floatValue,3.14,256,512,,,,,,,,
,items[].stringValue,apple,orange,lemon,,,,,,,,
,items[].pos.x,11,22,33,,,,,,,,
,items[].pos.y,55,66,77,,,,,,,,
,items[].dataType,TYPE_A,DEFAULT,TYPE_A,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
